"author","reviewBody","reviewRating","ratingMaxvalue","reviewTags","dateCreated","images","reviewUrl","reviewSource","orginalText","name","reviewCount","aggregateRating","address","place_id","input","businessUrl"
"Espinozi A","Worst service you can you have specially when it comes to deliveries","1.0","5.0","","10 months ago","","https://www.google.com/maps/contrib/113803829791781270812/reviews?hl=en-US&sa=X&ved=2ahUKEwjH79GBrrTxAhVBs54KHcXNDO0QvfQBegQIARA7","www.google.com","","Cakes Today","2,296","4.5","Rubicon House, Second Way, Wembley, United Kingdom","ChIJs4vWMHgRdkgRsx4_nn6PlJQ","https://www.google.com/search?q=cakes+today+uk&rlz=1C1CHBD_enIN906IN906&sxsrf=ALeKk02zwOwzR2tXt3g9Qyz1AdZthhvSjA%3A1624274364788&ei=vHXQYLzEL4qa4-EP662DwAg&gs_ssp=eJzj4tFP1zcsKKnMM7TMMTNgtFI1qDCxMDczNDS3MDZIMbNISjK2MqiwNLE0sUgzT7VMNU4zTE0y9uJLTsxOLVYoyU9JrFQozQYAk2IT6g&oq=cakes+today&gs_lcp=Cgdnd3Mtd2l6EAMYATIECCMQJzIKCC4QxwEQrwEQJzIECCMQJzICCAAyBAgAEAoyAggAMgcIABDJAxAKMgQIABAKMgIIADICCAA6BwgjELADECc6BwgAEEcQsAM6BwgAELADEEM6BAgAEEM6BggAEBYQHlCsJ1i1LGDmOWgBcAJ4AYAB2QGIAaUIkgEFMC41LjGYAQCgAQGqAQdnd3Mtd2l6yAEKwAEB&sclient=gws-wiz#lrd=0x4876117830d68bb3:0x94948f7e9e3f1eb3,1","https://www.google.com/maps/place/?q=place_id:ChIJs4vWMHgRdkgRsx4_nn6PlJQ"
"Manpreet Singh","I came in from Canada and ordered the cake around 6pm and the cake was delivered to the house at 9:30pm. It was a fresh cake and tasted absolutely delicious.","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/108649281230526240739/reviews?hl=en-US&sa=X&ved=2ahUKEwj28pilrrTxAhVJip4KHc5MAGYQvfQBegQIARAy","www.google.com","","Cakes Today","2,296","4.5","Rubicon House, Second Way, Wembley, United Kingdom","ChIJs4vWMHgRdkgRsx4_nn6PlJQ","https://www.google.com/search?q=cakes+today+uk&rlz=1C1CHBD_enIN906IN906&sxsrf=ALeKk02zwOwzR2tXt3g9Qyz1AdZthhvSjA%3A1624274364788&ei=vHXQYLzEL4qa4-EP662DwAg&gs_ssp=eJzj4tFP1zcsKKnMM7TMMTNgtFI1qDCxMDczNDS3MDZIMbNISjK2MqiwNLE0sUgzT7VMNU4zTE0y9uJLTsxOLVYoyU9JrFQozQYAk2IT6g&oq=cakes+today&gs_lcp=Cgdnd3Mtd2l6EAMYATIECCMQJzIKCC4QxwEQrwEQJzIECCMQJzICCAAyBAgAEAoyAggAMgcIABDJAxAKMgQIABAKMgIIADICCAA6BwgjELADECc6BwgAEEcQsAM6BwgAELADEEM6BAgAEEM6BggAEBYQHlCsJ1i1LGDmOWgBcAJ4AYAB2QGIAaUIkgEFMC41LjGYAQCgAQGqAQdnd3Mtd2l6yAEKwAEB&sclient=gws-wiz#lrd=0x4876117830d68bb3:0x94948f7e9e3f1eb3,1","https://www.google.com/maps/place/?q=place_id:ChIJs4vWMHgRdkgRsx4_nn6PlJQ"
"Catriona McLellan","Critical: Quality , Responsiveness","1.0","5.0","Critical: Quality, Responsiveness","3 months ago","","https://www.google.com/maps/contrib/116592956611292359191/reviews?hl=en-US&sa=X&ved=2ahUKEwibguvfrbTxAhXSo54KHfvvAOAQvfQBegQIARAC","www.google.com","","Cakes Today","2,296","4.5","Rubicon House, Second Way, Wembley, United Kingdom","ChIJs4vWMHgRdkgRsx4_nn6PlJQ","https://www.google.com/search?q=cakes+today+uk&rlz=1C1CHBD_enIN906IN906&sxsrf=ALeKk02zwOwzR2tXt3g9Qyz1AdZthhvSjA%3A1624274364788&ei=vHXQYLzEL4qa4-EP662DwAg&gs_ssp=eJzj4tFP1zcsKKnMM7TMMTNgtFI1qDCxMDczNDS3MDZIMbNISjK2MqiwNLE0sUgzT7VMNU4zTE0y9uJLTsxOLVYoyU9JrFQozQYAk2IT6g&oq=cakes+today&gs_lcp=Cgdnd3Mtd2l6EAMYATIECCMQJzIKCC4QxwEQrwEQJzIECCMQJzICCAAyBAgAEAoyAggAMgcIABDJAxAKMgQIABAKMgIIADICCAA6BwgjELADECc6BwgAEEcQsAM6BwgAELADEEM6BAgAEEM6BggAEBYQHlCsJ1i1LGDmOWgBcAJ4AYAB2QGIAaUIkgEFMC41LjGYAQCgAQGqAQdnd3Mtd2l6yAEKwAEB&sclient=gws-wiz#lrd=0x4876117830d68bb3:0x94948f7e9e3f1eb3,1","https://www.google.com/maps/place/?q=place_id:ChIJs4vWMHgRdkgRsx4_nn6PlJQ"
"julie E","This cake company really came through for me. I needed a cake within 3 hours and it was done and ready. They would have delivered it by the afternoon to my address but because I needed it by noon I just went and picked it up. The early opening hours makes everything worth it. Great communication with the staff and was understanding regarding the changes I made. Already recommended them to a friend.","5.0","5.0","Positive: Professionalism, Quality, Responsiveness","a month ago","","https://www.google.com/maps/contrib/110455697162435688324/reviews?hl=en-US&sa=X&ved=2ahUKEwiH2Z3XrbTxAhVEnp4KHXNhDyMQvfQBegQIARBM","www.google.com","","Cakes Today","2,296","4.5","Rubicon House, Second Way, Wembley, United Kingdom","ChIJs4vWMHgRdkgRsx4_nn6PlJQ","https://www.google.com/search?q=cakes+today+uk&rlz=1C1CHBD_enIN906IN906&sxsrf=ALeKk02zwOwzR2tXt3g9Qyz1AdZthhvSjA%3A1624274364788&ei=vHXQYLzEL4qa4-EP662DwAg&gs_ssp=eJzj4tFP1zcsKKnMM7TMMTNgtFI1qDCxMDczNDS3MDZIMbNISjK2MqiwNLE0sUgzT7VMNU4zTE0y9uJLTsxOLVYoyU9JrFQozQYAk2IT6g&oq=cakes+today&gs_lcp=Cgdnd3Mtd2l6EAMYATIECCMQJzIKCC4QxwEQrwEQJzIECCMQJzICCAAyBAgAEAoyAggAMgcIABDJAxAKMgQIABAKMgIIADICCAA6BwgjELADECc6BwgAEEcQsAM6BwgAELADEEM6BAgAEEM6BggAEBYQHlCsJ1i1LGDmOWgBcAJ4AYAB2QGIAaUIkgEFMC41LjGYAQCgAQGqAQdnd3Mtd2l6yAEKwAEB&sclient=gws-wiz#lrd=0x4876117830d68bb3:0x94948f7e9e3f1eb3,1","https://www.google.com/maps/place/?q=place_id:ChIJs4vWMHgRdkgRsx4_nn6PlJQ"
"sarah dilla","Positive: Professionalism , Quality , Responsiveness","5.0","5.0","Positive: Professionalism, Quality, Responsiveness","4 days ago","","https://www.google.com/maps/contrib/109791314745347418899/reviews?hl=en-US&sa=X&ved=2ahUKEwjY77HUrbTxAhXOs54KHcrSCssQvfQBegQIARBx","www.google.com","","Cakes Today","2,296","4.5","Rubicon House, Second Way, Wembley, United Kingdom","ChIJs4vWMHgRdkgRsx4_nn6PlJQ","https://www.google.com/search?q=cakes+today+uk&rlz=1C1CHBD_enIN906IN906&sxsrf=ALeKk02zwOwzR2tXt3g9Qyz1AdZthhvSjA%3A1624274364788&ei=vHXQYLzEL4qa4-EP662DwAg&gs_ssp=eJzj4tFP1zcsKKnMM7TMMTNgtFI1qDCxMDczNDS3MDZIMbNISjK2MqiwNLE0sUgzT7VMNU4zTE0y9uJLTsxOLVYoyU9JrFQozQYAk2IT6g&oq=cakes+today&gs_lcp=Cgdnd3Mtd2l6EAMYATIECCMQJzIKCC4QxwEQrwEQJzIECCMQJzICCAAyBAgAEAoyAggAMgcIABDJAxAKMgQIABAKMgIIADICCAA6BwgjELADECc6BwgAEEcQsAM6BwgAELADEEM6BAgAEEM6BggAEBYQHlCsJ1i1LGDmOWgBcAJ4AYAB2QGIAaUIkgEFMC41LjGYAQCgAQGqAQdnd3Mtd2l6yAEKwAEB&sclient=gws-wiz#lrd=0x4876117830d68bb3:0x94948f7e9e3f1eb3,1","https://www.google.com/maps/place/?q=place_id:ChIJs4vWMHgRdkgRsx4_nn6PlJQ"
"v1nda","","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/107026067671345268903/reviews?hl=en-US&sa=X&ved=2ahUKEwiC1IOnrrTxAhVErJ4KHTFwAmAQvfQBegQIARAP","www.google.com","","Cakes Today","2,296","4.5","Rubicon House, Second Way, Wembley, United Kingdom","ChIJs4vWMHgRdkgRsx4_nn6PlJQ","https://www.google.com/search?q=cakes+today+uk&rlz=1C1CHBD_enIN906IN906&sxsrf=ALeKk02zwOwzR2tXt3g9Qyz1AdZthhvSjA%3A1624274364788&ei=vHXQYLzEL4qa4-EP662DwAg&gs_ssp=eJzj4tFP1zcsKKnMM7TMMTNgtFI1qDCxMDczNDS3MDZIMbNISjK2MqiwNLE0sUgzT7VMNU4zTE0y9uJLTsxOLVYoyU9JrFQozQYAk2IT6g&oq=cakes+today&gs_lcp=Cgdnd3Mtd2l6EAMYATIECCMQJzIKCC4QxwEQrwEQJzIECCMQJzICCAAyBAgAEAoyAggAMgcIABDJAxAKMgQIABAKMgIIADICCAA6BwgjELADECc6BwgAEEcQsAM6BwgAELADEEM6BAgAEEM6BggAEBYQHlCsJ1i1LGDmOWgBcAJ4AYAB2QGIAaUIkgEFMC41LjGYAQCgAQGqAQdnd3Mtd2l6yAEKwAEB&sclient=gws-wiz#lrd=0x4876117830d68bb3:0x94948f7e9e3f1eb3,1","https://www.google.com/maps/place/?q=place_id:ChIJs4vWMHgRdkgRsx4_nn6PlJQ"
"Anael Poirux","I made an order 2 days ago and They really surprised me with the quality and punctual service , highly recommend.","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/110085405482357215431/reviews?hl=en-US&sa=X&ved=2ahUKEwjUzryUrrTxAhWDv54KHXSzCDYQvfQBegQIARBP","www.google.com","","Cakes Today","2,296","4.5","Rubicon House, Second Way, Wembley, United Kingdom","ChIJs4vWMHgRdkgRsx4_nn6PlJQ","https://www.google.com/search?q=cakes+today+uk&rlz=1C1CHBD_enIN906IN906&sxsrf=ALeKk02zwOwzR2tXt3g9Qyz1AdZthhvSjA%3A1624274364788&ei=vHXQYLzEL4qa4-EP662DwAg&gs_ssp=eJzj4tFP1zcsKKnMM7TMMTNgtFI1qDCxMDczNDS3MDZIMbNISjK2MqiwNLE0sUgzT7VMNU4zTE0y9uJLTsxOLVYoyU9JrFQozQYAk2IT6g&oq=cakes+today&gs_lcp=Cgdnd3Mtd2l6EAMYATIECCMQJzIKCC4QxwEQrwEQJzIECCMQJzICCAAyBAgAEAoyAggAMgcIABDJAxAKMgQIABAKMgIIADICCAA6BwgjELADECc6BwgAEEcQsAM6BwgAELADEEM6BAgAEEM6BggAEBYQHlCsJ1i1LGDmOWgBcAJ4AYAB2QGIAaUIkgEFMC41LjGYAQCgAQGqAQdnd3Mtd2l6yAEKwAEB&sclient=gws-wiz#lrd=0x4876117830d68bb3:0x94948f7e9e3f1eb3,1","https://www.google.com/maps/place/?q=place_id:ChIJs4vWMHgRdkgRsx4_nn6PlJQ"
"Neil Moodie","A great service they provide. My cake arrived within 2 hours and not only was it perfect but also delicious.","5.0","5.0","","10 months ago","","https://www.google.com/maps/contrib/113418927179302908819/reviews?hl=en-US&sa=X&ved=2ahUKEwj76p2DrrTxAhVHvJ4KHcSJCAoQvfQBegQIARAO","www.google.com","","Cakes Today","2,296","4.5","Rubicon House, Second Way, Wembley, United Kingdom","ChIJs4vWMHgRdkgRsx4_nn6PlJQ","https://www.google.com/search?q=cakes+today+uk&rlz=1C1CHBD_enIN906IN906&sxsrf=ALeKk02zwOwzR2tXt3g9Qyz1AdZthhvSjA%3A1624274364788&ei=vHXQYLzEL4qa4-EP662DwAg&gs_ssp=eJzj4tFP1zcsKKnMM7TMMTNgtFI1qDCxMDczNDS3MDZIMbNISjK2MqiwNLE0sUgzT7VMNU4zTE0y9uJLTsxOLVYoyU9JrFQozQYAk2IT6g&oq=cakes+today&gs_lcp=Cgdnd3Mtd2l6EAMYATIECCMQJzIKCC4QxwEQrwEQJzIECCMQJzICCAAyBAgAEAoyAggAMgcIABDJAxAKMgQIABAKMgIIADICCAA6BwgjELADECc6BwgAEEcQsAM6BwgAELADEEM6BAgAEEM6BggAEBYQHlCsJ1i1LGDmOWgBcAJ4AYAB2QGIAaUIkgEFMC41LjGYAQCgAQGqAQdnd3Mtd2l6yAEKwAEB&sclient=gws-wiz#lrd=0x4876117830d68bb3:0x94948f7e9e3f1eb3,1","https://www.google.com/maps/place/?q=place_id:ChIJs4vWMHgRdkgRsx4_nn6PlJQ"
"Anouska Jha","Positive: Professionalism , Quality , Value","5.0","5.0","Positive: Professionalism, Quality, Value","8 months ago","","https://www.google.com/maps/contrib/114091621540606343773/reviews?hl=en-US&sa=X&ved=2ahUKEwjE9tH9rbTxAhXGv54KHSh_CR0QvfQBegQIARBg","www.google.com","","Cakes Today","2,296","4.5","Rubicon House, Second Way, Wembley, United Kingdom","ChIJs4vWMHgRdkgRsx4_nn6PlJQ","https://www.google.com/search?q=cakes+today+uk&rlz=1C1CHBD_enIN906IN906&sxsrf=ALeKk02zwOwzR2tXt3g9Qyz1AdZthhvSjA%3A1624274364788&ei=vHXQYLzEL4qa4-EP662DwAg&gs_ssp=eJzj4tFP1zcsKKnMM7TMMTNgtFI1qDCxMDczNDS3MDZIMbNISjK2MqiwNLE0sUgzT7VMNU4zTE0y9uJLTsxOLVYoyU9JrFQozQYAk2IT6g&oq=cakes+today&gs_lcp=Cgdnd3Mtd2l6EAMYATIECCMQJzIKCC4QxwEQrwEQJzIECCMQJzICCAAyBAgAEAoyAggAMgcIABDJAxAKMgQIABAKMgIIADICCAA6BwgjELADECc6BwgAEEcQsAM6BwgAELADEEM6BAgAEEM6BggAEBYQHlCsJ1i1LGDmOWgBcAJ4AYAB2QGIAaUIkgEFMC41LjGYAQCgAQGqAQdnd3Mtd2l6yAEKwAEB&sclient=gws-wiz#lrd=0x4876117830d68bb3:0x94948f7e9e3f1eb3,1","https://www.google.com/maps/place/?q=place_id:ChIJs4vWMHgRdkgRsx4_nn6PlJQ"
"Sanita Luse","","5.0","5.0","","a year ago","","https://www.google.com/maps/contrib/107479351900467481195/reviews?hl=en-US&sa=X&ved=2ahUKEwj9oqiarrTxAhXDtp4KHZReAeIQvfQBegQIARAC","www.google.com","","Cakes Today","2,296","4.5","Rubicon House, Second Way, Wembley, United Kingdom","ChIJs4vWMHgRdkgRsx4_nn6PlJQ","https://www.google.com/search?q=cakes+today+uk&rlz=1C1CHBD_enIN906IN906&sxsrf=ALeKk02zwOwzR2tXt3g9Qyz1AdZthhvSjA%3A1624274364788&ei=vHXQYLzEL4qa4-EP662DwAg&gs_ssp=eJzj4tFP1zcsKKnMM7TMMTNgtFI1qDCxMDczNDS3MDZIMbNISjK2MqiwNLE0sUgzT7VMNU4zTE0y9uJLTsxOLVYoyU9JrFQozQYAk2IT6g&oq=cakes+today&gs_lcp=Cgdnd3Mtd2l6EAMYATIECCMQJzIKCC4QxwEQrwEQJzIECCMQJzICCAAyBAgAEAoyAggAMgcIABDJAxAKMgQIABAKMgIIADICCAA6BwgjELADECc6BwgAEEcQsAM6BwgAELADEEM6BAgAEEM6BggAEBYQHlCsJ1i1LGDmOWgBcAJ4AYAB2QGIAaUIkgEFMC41LjGYAQCgAQGqAQdnd3Mtd2l6yAEKwAEB&sclient=gws-wiz#lrd=0x4876117830d68bb3:0x94948f7e9e3f1eb3,1","https://www.google.com/maps/place/?q=place_id:ChIJs4vWMHgRdkgRsx4_nn6PlJQ"
